panel_slug,name_nl,department_slug,fixture_type,sort,aisle_group_ids,head_terms,products,chains,min_price_eur,top_form,sample_names,notes
aardappelen,Aardappelen,groente-aardappelen,produce,10,1,aardappelen,72,6,0.69,vers,Jumbo Aardappelen Kruimig 200 g | vastkokende aardappelen | Kruimige aardappelen,
krieltjes,Krieltjes,groente-aardappelen,produce,20,1,krieltjes,42,6,0.69,vers,Jumbo Krieltjes 200 g | Jumbo Mini Krieltjes 200 g | PLUS Bistro minikrieltjes,
sperziebonen,Sperziebonen,groente-aardappelen,produce,30,1,sperziebonen,39,6,0.66,vers,Jumbo Gebroken Sperziebonen 180 g | 1 de Beste Sperziebonen gebroken | PLUS Sperziebonen gebroken,
champignons,Champignons,groente-aardappelen,produce,40,1,champignons,34,6,0.97,vers,Champignonschijfjes | Neutraal Champignons wit | 1 de Beste Champignons,
paprika,Paprika,groente-aardappelen,produce,50,1,paprika,33,6,0.85,vers,Paprika rood | Rode paprika | PLUS Paprika rood,
spinazie,Spinazie,groente-aardappelen,produce,60,1,spinazie,31,6,0.79,vers,Babyspinazie | AH Spinazie | Jumbo Gehakte Spinazie 450 g,
ijsbergsla,IJsbergsla,groente-aardappelen,produce,70,1,ijsbergsla,30,6,0.79,vers,1 de Beste Ijsbergsla naturel kleinverpakking | IJsbergsla fijn | AH Fijngesneden ijsbergsla,
uien,Uien,groente-aardappelen,produce,80,1,uien,27,6,0.15,vers,uien | 1 de Beste Uien | AH Amsterdamse uien,
broccoli,Broccoli,groente-aardappelen,produce,90,1,broccoli,23,6,0.89,vers,Bonbebe Bio M0411 broccoli | Broccoli | AH Broccoli,
snijbonen,Snijbonen,groente-aardappelen,produce,100,1,snijbonen,22,6,1.00,vers,PLUS Snijbonen gesneden | Bonduelle Snijboontjes 200 g | Bonduelle Hollandse Snijbonen,
knoflook,Knoflook,groente-aardappelen,produce,110,1,knoflook,22,6,0.64,vers,Knoflook | Knoflook | Verse Knoflook,
zuurkool,Zuurkool,groente-aardappelen,produce,120,1,zuurkool,21,6,0.57,vers,Zuurkool naturel | PLUS Zuurkool naturel | Zuurkool naturel,
kastanjechampignons,Kastanjechampignons,groente-aardappelen,produce,130,1,kastanjechampignons,21,6,1.29,vers,Gesneden kastanjechampignons | Jumbo Gesneden Kastanjechampignons 125 g | PLUS Kastanjechampignons gesneden,
komkommer,Komkommer,groente-aardappelen,produce,140,1,komkommer,21,6,0.75,vers,Komkommer | PLUS Komkommer | Nederlandse komkommer,
verse-sappen,Verse sappen & smoothies,fruit-sappen,produce,10,15,smoothie;sap;sinaasappelsap;appelsap;verse jus;jus d'orange,414,6,0.65,houdbaar,"Fruity Smoothie 100% smoothie mango | Goodies Knijpzakje smoothie perzik, banaan & appel | Goodies Knijpzakje smoothie aardbei & appel",
appel,Appel,fruit-sappen,produce,20,1,appel,40,6,0.39,vers,Jonagold appel | junami | Kanzi appel,
