aisle_group_id,aisle_name,head_term,products,chains,min_price_eur,top_form,base_share,sample_names
1,GROENTE & FRUIT,aardappelen,72,6,0.69,vers,1.00,Jumbo Aardappelen Kruimig 200 g | vastkokende aardappelen | Kruimige aardappelen
1,GROENTE & FRUIT,krieltjes,42,6,0.69,vers,0.93,Jumbo Krieltjes 200 g | Jumbo Mini Krieltjes 200 g | PLUS Bistro minikrieltjes
1,GROENTE & FRUIT,appel,40,6,0.39,vers,1.00,Jonagold appel | junami | Kanzi appel
1,GROENTE & FRUIT,sperziebonen,39,6,0.66,vers,1.00,Jumbo Gebroken Sperziebonen 180 g | 1 de Beste Sperziebonen gebroken | PLUS Sperziebonen gebroken
1,GROENTE & FRUIT,champignons,34,6,0.97,vers,1.00,Champignonschijfjes | Neutraal Champignons wit | 1 de Beste Champignons
1,GROENTE & FRUIT,paprika,33,6,0.85,vers,1.00,Paprika rood | Rode paprika | PLUS Paprika rood
1,GROENTE & FRUIT,blauwe bessen,31,6,1.99,vers,1.00,Blauwe bessen | Jumbo Blauwe Bessen 125 g | Spar blauwe bessen 100 gram
1,GROENTE & FRUIT,spinazie,31,6,0.79,vers,1.00,Babyspinazie | AH Spinazie | Jumbo Gehakte Spinazie 450 g
1,GROENTE & FRUIT,ijsbergsla,30,6,0.79,vers,1.00,1 de Beste Ijsbergsla naturel kleinverpakking | IJsbergsla fijn | AH Fijngesneden ijsbergsla
1,GROENTE & FRUIT,watermeloen,29,6,1.05,vers,1.00,Extra watermelon single | Watermeloen | Verse watermeloen
1,GROENTE & FRUIT,ananas,29,6,0.99,vers,0.97,KA Pineapple | Ananas | Verse ananas
1,GROENTE & FRUIT,dadels,29,6,0.99,vers,1.00,Dadels met pit | Zongedroogde dadels | Jumbo Gedroogde Dadels Zonder Pit 250 g
1,GROENTE & FRUIT,uien,27,6,0.15,vers,1.00,uien | 1 de Beste Uien | AH Amsterdamse uien
1,GROENTE & FRUIT,kiwi,27,6,0.80,vers,1.00,Zespri kiwi | kiwi groen | kiwi sungold los
1,GROENTE & FRUIT,rozijnen,27,6,1.29,gedroogd,1.00,AH Rozijnen vriendjes | Jumbo Zongedroogde Sultana Rozijnen 250g | AH Rozijnen
1,GROENTE & FRUIT,mango,25,6,1.00,vers,1.00,PLUS Mango | Mango | Mango
1,GROENTE & FRUIT,aardbeien,24,6,1.69,vers,1.00,AH Doosje met aardbeien | Jumbo Vriesverse Aardbeien 250 g | Aardbeien
1,GROENTE & FRUIT,broccoli,23,6,0.89,vers,1.00,Bonbebe Bio M0411 broccoli | Broccoli | AH Broccoli
1,GROENTE & FRUIT,snijbonen,22,6,1.00,vers,1.00,PLUS Snijbonen gesneden | Bonduelle Snijboontjes 200 g | Bonduelle Hollandse Snijbonen
